tradedate,ticker,price_last
2024-03-13,"PETR4       ",36.38
2024-03-14,"PETR4       ",36.22
2024-03-15,"PETR4       ",36.32
2024-03-18,"PETR4       ",36.34
2024-03-19,"PETR4       ",36.07
2024-03-20,"PETR4       ",36.7
2024-03-21,"PETR4       ",35.7
2024-03-22,"PETR4       ",36.05
2024-03-25,"PETR4       ",36.6
2024-03-26,"PETR4       ",36.26
2024-03-27,"PETR4       ",36.55
2024-03-28,"PETR4       ",37.36
2024-04-01,"PETR4       ",37.65
2024-04-02,"PETR4       ",38.62
2024-04-03,"PETR4       ",38.42
2024-04-04,"PETR4       ",37.88
2024-04-05,"PETR4       ",38.1
2024-04-08,"PETR4       ",38.63
2024-04-09,"PETR4       ",38.73
2024-04-10,"PETR4       ",39.59
2024-04-11,"PETR4       ",39.3
2024-04-12,"PETR4       ",38.94
2024-04-15,"PETR4       ",39.31
2024-04-16,"PETR4       ",39.49
2024-04-17,"PETR4       ",39.78
2024-04-18,"PETR4       ",39.85
2024-04-19,"PETR4       ",40.53
2024-04-22,"PETR4       ",41.5
2024-04-23,"PETR4       ",41.42
2024-04-24,"PETR4       ",41.23
2024-04-25,"PETR4       ",42.22
2024-04-26,"PETR4       ",41.41
2024-04-29,"PETR4       ",42.15
2024-04-30,"PETR4       ",42.02
2024-05-02,"PETR4       ",42.18
2024-05-03,"PETR4       ",39.89
2024-05-06,"PETR4       ",40.16
2024-05-07,"PETR4       ",40.65
2024-05-08,"PETR4       ",41.27
2024-05-09,"PETR4       ",41.67
2024-05-10,"PETR4       ",41.58
2024-05-13,"PETR4       ",41.62
2024-05-14,"PETR4       ",40.87
2024-05-15,"PETR4       ",38.4
2024-05-16,"PETR4       ",37.31
2024-05-17,"PETR4       ",36.69
2024-05-20,"PETR4       ",36.75
2024-05-21,"PETR4       ",36.68
2024-05-22,"PETR4       ",37.18
2024-05-23,"PETR4       ",36.81
2024-05-24,"PETR4       ",36.61
2024-05-27,"PETR4       ",37.01
2024-05-28,"PETR4       ",37.8
2024-05-29,"PETR4       ",37.75
2024-05-31,"PETR4       ",38.79
2024-06-03,"PETR4       ",38.58
2024-06-04,"PETR4       ",38.15
2024-06-05,"PETR4       ",38.2
2024-06-06,"PETR4       ",38.38
2024-06-07,"PETR4       ",36.94
2024-06-10,"PETR4       ",37.5
2024-06-11,"PETR4       ",37.66
2024-06-12,"PETR4       ",35.82
2024-06-13,"PETR4       ",35.46
2024-06-14,"PETR4       ",34.68
2024-06-17,"PETR4       ",34.81
2024-06-18,"PETR4       ",35.9
2024-06-19,"PETR4       ",35.93
